"Intentional self-harm hospitalisations by Sex and Age (years)"
"Sex","Age (years)","Period","Age standardised rate per 100,000 population","LL 95% CI","UL 95% CI"
"Males","10-14 years","01/02","7.4","4.3","11.8"
"Males","10-14 years","02/03","6.0","3.3","10.1"
"Males","10-14 years","03/04","13.3","9.0","18.9"
"Males","10-14 years","04/05","6.9","3.9","11.1"
"Males","10-14 years","05/06","13.8","9.4","19.5"
"Males","10-14 years","06/07","8.2","5.0","12.9"
"Males","10-14 years","07/08","7.0","4.0","11.3"
"Males","10-14 years","08/09","9.2","5.7","14.0"
"Males","10-14 years","09/10","10.5","6.7","15.6"
"Males","10-14 years","10/11","10.9","7.1","16.1"
"Males","10-14 years","11/12","5.7","3.0","9.7"
"Males","10-14 years","12/13","11.8","7.8","17.2"
"Males","10-14 years","13/14","11.8","7.8","17.1"
"Males","10-14 years","14/15","14.8","10.2","20.6"
"Males","10-14 years","15/16","9.5","5.9","14.3"
"Males","10-14 years","16/17","11.8","7.9","17.1"
"Males","10-14 years","17/18","12.7","8.7","18.1"
"Males","10-14 years","18/19","14.0","9.8","19.5"
"Males","10-14 years","19/20","13.3","9.2","18.6"
"Males","10-14 years","20/21","20.0","14.9","26.2"
"Males","10-14 years","21/22","14.1","9.9","19.4"
"Males","10-14 years","22/23","11.7","7.9","16.6"
"Males","10-14 years","23/24","11.6","7.9","16.5"
"Males","15-19 years","01/02","52.8","43.8","63.1"
"Males","15-19 years","02/03","44.3","36.1","53.8"
"Males","15-19 years","03/04","58.3","48.8","69.1"
"Males","15-19 years","04/05","52.5","43.5","62.7"
"Males","15-19 years","05/06","73.0","62.4","84.9"
"Males","15-19 years","06/07","58.7","49.3","69.4"
"Males","15-19 years","07/08","70.3","60.0","81.8"
"Males","15-19 years","08/09","67.5","57.5","78.8"
"Males","15-19 years","09/10","81.1","70.1","93.3"
"Males","15-19 years","10/11","73.6","63.1","85.3"
"Males","15-19 years","11/12","80.5","69.4","92.7"
"Males","15-19 years","12/13","106.2","93.5","120.1"
"Males","15-19 years","13/14","104.8","92.2","118.7"
"Males","15-19 years","14/15","99.2","87.0","112.7"
"Males","15-19 years","15/16","120.0","106.5","134.7"
"Males","15-19 years","16/17","115.5","102.3","130.0"
"Males","15-19 years","17/18","104.3","91.8","118.0"
"Males","15-19 years","18/19","104.8","92.3","118.5"
"Males","15-19 years","19/20","121.1","107.7","135.8"
"Males","15-19 years","20/21","117.9","104.5","132.4"
"Males","15-19 years","21/22","96.5","84.5","109.6"
"Males","15-19 years","22/23","66.5","56.8","77.3"
"Males","15-19 years","23/24","71.1","61.3","82.0"
"Males","20-24 years","01/02","75.6","64.5","88.0"
"Males","20-24 years","02/03","73.3","62.5","85.5"
"Males","20-24 years","03/04","78.2","67.2","90.6"
"Males","20-24 years","04/05","77.0","66.1","89.2"
"Males","20-24 years","05/06","81.9","70.8","94.4"
"Males","20-24 years","06/07","94.2","82.3","107.4"
"Males","20-24 years","07/08","90.4","78.8","103.2"
"Males","20-24 years","08/09","71.8","61.7","83.1"
"Males","20-24 years","09/10","81.5","70.8","93.4"
"Males","20-24 years","10/11","96.1","84.4","108.9"
"Males","20-24 years","11/12","92.9","81.4","105.5"
"Males","20-24 years","12/13","101.2","89.3","114.3"
"Males","20-24 years","13/14","106.8","94.6","120.1"
"Males","20-24 years","14/15","117.4","104.7","131.2"
"Males","20-24 years","15/16","116.1","103.6","129.7"
"Males","20-24 years","16/17","114.0","101.7","127.4"
"Males","20-24 years","17/18","109.0","97.0","122.0"
"Males","20-24 years","18/19","113.8","101.7","127.0"
"Males","20-24 years","19/20","111.3","99.3","124.4"
"Males","20-24 years","20/21","99.4","87.9","112.1"
"Males","20-24 years","21/22","84.3","73.6","96.1"
"Males","20-24 years","22/23","74.4","64.6","85.3"
"Males","20-24 years","23/24","62.8","54.1","72.6"
"Males","25-34 years","01/02","90.3","82.0","99.2"
"Males","25-34 years","02/03","78.4","70.7","86.7"
"Males","25-34 years","03/04","73.1","65.6","81.2"
"Males","25-34 years","04/05","73.6","66.1","81.7"
"Males","25-34 years","05/06","82.8","74.8","91.4"
"Males","25-34 years","06/07","92.7","84.3","101.8"
"Males","25-34 years","07/08","83.8","75.8","92.4"
"Males","25-34 years","08/09","91.5","83.2","100.4"
"Males","25-34 years","09/10","89.7","81.5","98.3"
"Males","25-34 years","10/11","87.9","79.9","96.5"
"Males","25-34 years","11/12","78.0","70.5","86.0"
"Males","25-34 years","12/13","94.3","86.2","103.0"
"Males","25-34 years","13/14","94.1","86.1","102.7"
"Males","25-34 years","14/15","95.2","87.2","103.8"
"Males","25-34 years","15/16","95.3","87.4","103.7"
"Males","25-34 years","16/17","105.8","97.5","114.5"
"Males","25-34 years","17/18","84.2","76.9","91.9"
"Males","25-34 years","18/19","79.8","72.8","87.3"
"Males","25-34 years","19/20","89.9","82.4","97.8"
"Males","25-34 years","20/21","77.0","70.1","84.4"
"Males","25-34 years","21/22","59.7","53.6","66.3"
"Males","25-34 years","22/23","66.9","60.5","73.8"
"Males","25-34 years","23/24","56.5","50.7","62.7"
"Males","35-44 years","01/02","68.2","61.2","75.8"
"Males","35-44 years","02/03","65.5","58.6","73.0"
"Males","35-44 years","03/04","61.3","54.6","68.7"
"Males","35-44 years","04/05","64.8","57.8","72.3"
"Males","35-44 years","05/06","76.3","68.8","84.5"
"Males","35-44 years","06/07","80.5","72.8","88.9"
"Males","35-44 years","07/08","87.5","79.5","96.2"
"Males","35-44 years","08/09","81.4","73.6","89.7"
"Males","35-44 years","09/10","97.2","88.7","106.3"
"Males","35-44 years","10/11","87.9","79.8","96.5"
"Males","35-44 years","11/12","87.3","79.3","95.8"
"Males","35-44 years","12/13","93.8","85.5","102.6"
"Males","35-44 years","13/14","92.0","83.9","100.8"
"Males","35-44 years","14/15","104.0","95.4","113.3"
"Males","35-44 years","15/16","102.8","94.2","111.9"
"Males","35-44 years","16/17","96.3","88.0","105.1"
"Males","35-44 years","17/18","81.8","74.2","89.9"
"Males","35-44 years","18/19","81.8","74.3","89.9"
"Males","35-44 years","19/20","75.9","68.7","83.6"
"Males","35-44 years","20/21","67.8","61.1","75.1"
"Males","35-44 years","21/22","55.1","49.1","61.7"
"Males","35-44 years","22/23","56.4","50.3","62.9"
"Males","35-44 years","23/24","56.7","50.8","63.2"
"Males","45-64 years","01/02","36.7","32.5","41.3"
"Males","45-64 years","02/03","39.0","34.7","43.7"
"Males","45-64 years","03/04","38.5","34.3","43.2"
"Males","45-64 years","04/05","40.4","36.1","45.1"
"Males","45-64 years","05/06","47.3","42.6","52.2"
"Males","45-64 years","06/07","46.1","41.6","51.0"
"Males","45-64 years","07/08","51.4","46.7","56.5"
"Males","45-64 years","08/09","54.2","49.4","59.4"
"Males","45-64 years","09/10","54.1","49.2","59.2"
"Males","45-64 years","10/11","53.9","49.1","59.0"
"Males","45-64 years","11/12","56.7","51.8","62.0"
"Males","45-64 years","12/13","64.4","59.1","69.9"
"Males","45-64 years","13/14","68.0","62.7","73.7"
"Males","45-64 years","14/15","73.4","67.8","79.3"
"Males","45-64 years","15/16","74.2","68.6","80.1"
"Males","45-64 years","16/17","82.3","76.5","88.5"
"Males","45-64 years","17/18","66.0","60.8","71.5"
"Males","45-64 years","18/19","62.5","57.5","67.9"
"Males","45-64 years","19/20","56.9","52.1","62.1"
"Males","45-64 years","20/21","56.7","51.9","61.8"
"Males","45-64 years","21/22","48.7","44.3","53.4"
"Males","45-64 years","22/23","50.1","45.6","54.8"
"Males","45-64 years","23/24","51.2","46.7","55.9"
"Males","65-74 years","01/02","21.0","15.5","28.0"
"Males","65-74 years","02/03","22.7","16.9","29.8"
"Males","65-74 years","03/04","19.4","14.1","26.1"
"Males","65-74 years","04/05","20.2","14.8","27.0"
"Males","65-74 years","05/06","22.4","16.6","29.4"
"Males","65-74 years","06/07","24.6","18.6","31.9"
"Males","65-74 years","07/08","23.0","17.3","30.0"
"Males","65-74 years","08/09","31.0","24.4","38.8"
"Males","65-74 years","09/10","20.7","15.5","27.1"
"Males","65-74 years","10/11","26.8","21.0","33.7"
"Males","65-74 years","11/12","31.2","25.0","38.4"
"Males","65-74 years","12/13","29.1","23.2","36.0"
"Males","65-74 years","13/14","30.4","24.5","37.4"
"Males","65-74 years","14/15","37.0","30.6","44.3"
"Males","65-74 years","15/16","30.5","24.9","37.1"
"Males","65-74 years","16/17","39.8","33.4","47.1"
"Males","65-74 years","17/18","29.5","24.0","35.8"
"Males","65-74 years","18/19","27.4","22.2","33.4"
"Males","65-74 years","19/20","24.6","19.8","30.2"
"Males","65-74 years","20/21","26.7","21.7","32.5"
"Males","65-74 years","21/22","28.3","23.2","34.3"
"Males","65-74 years","22/23","28.8","23.6","34.7"
"Males","65-74 years","23/24","29.8","24.5","35.8"
"Males","75+ years","01/02","27.2","19.4","37.3"
"Males","75+ years","02/03","32.8","24.3","43.5"
"Males","75+ years","03/04","34.8","26.1","45.6"
"Males","75+ years","04/05","34.7","26.2","45.3"
"Males","75+ years","05/06","32.4","24.4","42.4"
"Males","75+ years","06/07","30.7","23.2","40.3"
"Males","75+ years","07/08","29.4","22.1","38.5"
"Males","75+ years","08/09","32.5","24.7","42.2"
"Males","75+ years","09/10","34.3","26.4","43.9"
"Males","75+ years","10/11","32.4","25.0","41.6"
"Males","75+ years","11/12","28.0","21.3","36.3"
"Males","75+ years","12/13","37.0","29.2","46.5"
"Males","75+ years","13/14","38.5","30.7","47.9"
"Males","75+ years","14/15","32.2","25.2","40.5"
"Males","75+ years","15/16","41.1","33.3","50.3"
"Males","75+ years","16/17","44.5","36.4","53.9"
"Males","75+ years","17/18","34.6","27.7","42.8"
"Males","75+ years","18/19","31.0","24.5","38.7"
"Males","75+ years","19/20","32.9","26.3","40.7"
"Males","75+ years","20/21","34.7","28.1","42.4"
"Males","75+ years","21/22","35.4","28.9","43.1"
"Males","75+ years","22/23","36.4","29.8","43.9"
"Males","75+ years","23/24","31.6","25.7","38.6"
"Males","All ages","01/02","44.6","42.3","47.0"
"Males","All ages","02/03","42.7","40.5","45.0"
"Males","All ages","03/04","42.7","40.5","45.0"
"Males","All ages","04/05","42.9","40.7","45.2"
"Males","All ages","05/06","49.9","47.5","52.4"
"Males","All ages","06/07","51.2","48.8","53.7"
"Males","All ages","07/08","52.5","50.0","55.0"
"Males","All ages","08/09","52.7","50.3","55.2"
"Males","All ages","09/10","56.0","53.6","58.6"
"Males","All ages","10/11","55.0","52.5","57.5"
"Males","All ages","11/12","54.0","51.6","56.5"
"Males","All ages","12/13","62.3","59.7","65.0"
"Males","All ages","13/14","63.4","60.8","66.1"
"Males","All ages","14/15","67.2","64.6","69.9"
"Males","All ages","15/16","68.3","65.6","71.0"
"Males","All ages","16/17","71.3","68.6","74.0"
"Males","All ages","17/18","59.7","57.3","62.2"
"Males","All ages","18/19","58.4","56.0","60.8"
"Males","All ages","19/20","58.5","56.1","61.0"
"Males","All ages","20/21","55.0","52.7","57.4"
"Males","All ages","21/22","45.9","43.8","48.1"
"Males","All ages","22/23","44.6","42.6","46.7"
"Males","All ages","23/24","42.7","40.7","44.7"
"Females","10-14 years","01/02","40.0","32.1","49.3"
"Females","10-14 years","02/03","38.9","31.1","48.1"
"Females","10-14 years","03/04","46.6","38.0","56.5"
"Females","10-14 years","04/05","54.3","45.0","64.9"
"Females","10-14 years","05/06","59.4","49.7","70.5"
"Females","10-14 years","06/07","47.0","38.3","57.0"
"Females","10-14 years","07/08","37.1","29.5","46.1"
"Females","10-14 years","08/09","41.8","33.7","51.4"
"Females","10-14 years","09/10","49.8","40.8","60.1"
"Females","10-14 years","10/11","39.7","31.7","49.0"
"Females","10-14 years","11/12","52.7","43.5","63.3"
"Females","10-14 years","12/13","94.4","81.9","108.2"
"Females","10-14 years","13/14","78.5","67.1","91.2"
"Females","10-14 years","14/15","82.9","71.2","95.9"
"Females","10-14 years","15/16","101.9","88.9","116.2"
"Females","10-14 years","16/17","120.2","106.2","135.4"
"Females","10-14 years","17/18","94.8","82.6","108.3"
"Females","10-14 years","18/19","86.5","75.0","99.2"
"Females","10-14 years","19/20","88.5","77.0","101.2"
"Females","10-14 years","20/21","148.5","133.6","164.5"
"Females","10-14 years","21/22","140.7","126.3","156.3"
"Females","10-14 years","22/23","117.2","104.2","131.4"
"Females","10-14 years","23/24","81.9","71.1","93.9"
"Females","15-19 years","01/02","146.9","131.2","163.9"
"Females","15-19 years","02/03","157.6","141.4","175.2"
"Females","15-19 years","03/04","184.3","166.8","203.2"
"Females","15-19 years","04/05","215.2","196.2","235.6"
"Females","15-19 years","05/06","211.0","192.3","231.2"
"Females","15-19 years","06/07","214.4","195.5","234.6"
"Females","15-19 years","07/08","191.7","174.0","210.7"
"Females","15-19 years","08/09","191.4","173.7","210.3"
"Females","15-19 years","09/10","230.4","211.0","251.0"
"Females","15-19 years","10/11","255.0","234.5","276.8"
"Females","15-19 years","11/12","292.3","270.3","315.6"
"Females","15-19 years","12/13","375.2","350.3","401.4"
"Females","15-19 years","13/14","387.2","361.9","413.8"
"Females","15-19 years","14/15","348.5","324.6","373.8"
"Females","15-19 years","15/16","387.4","362.2","414.0"
"Females","15-19 years","16/17","431.8","405.1","459.7"
"Females","15-19 years","17/18","361.1","336.8","386.7"
"Females","15-19 years","18/19","358.2","334.1","383.7"
"Females","15-19 years","19/20","347.4","323.5","372.5"
"Females","15-19 years","20/21","431.1","404.4","459.2"
"Females","15-19 years","21/22","364.1","339.7","389.8"
"Females","15-19 years","22/23","286.5","265.3","308.9"
"Females","15-19 years","23/24","203.5","186.1","222.2"
"Females","20-24 years","01/02","109.7","96.1","124.7"
"Females","20-24 years","02/03","116.5","102.6","131.8"
"Females","20-24 years","03/04","121.7","107.6","137.2"
"Females","20-24 years","04/05","122.4","108.4","137.8"
"Females","20-24 years","05/06","125.2","111.1","140.6"
"Females","20-24 years","06/07","148.6","133.3","165.2"
"Females","20-24 years","07/08","143.6","128.6","159.8"
"Females","20-24 years","08/09","158.7","143.2","175.6"
