"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"11 years and under","Total mental health presentations","Males","12/13","100.3","92.3","108.9"
"11 years and under","Total mental health presentations","Males","13/14","97.7","89.8","106.1"
"11 years and under","Total mental health presentations","Males","14/15","105.1","97.0","113.7"
"11 years and under","Total mental health presentations","Males","15/16","128.7","119.8","138.1"
"11 years and under","Total mental health presentations","Males","16/17","130.0","121.1","139.4"
"11 years and under","Total mental health presentations","Males","17/18","142.9","133.6","152.6"
"11 years and under","Total mental health presentations","Males","18/19","156.8","147.1","167.0"
"11 years and under","Total mental health presentations","Males","19/20","162.2","152.3","172.6"
"11 years and under","Total mental health presentations","Males","20/21","179.6","169.2","190.5"
"11 years and under","Total mental health presentations","Males","21/22","150.9","141.3","160.9"
"11 years and under","Total mental health presentations","Males","22/23","192.0","181.2","203.3"
"11 years and under","Total mental health presentations","Males","23/24","179.4","169.0","190.4"
"11 years and under","Total mental health presentations","Males","24/25","170.1","159.9","180.8"
"11 years and under","Total mental health presentations","Females","12/13","75.2","68.1","82.9"
"11 years and under","Total mental health presentations","Females","13/14","66.4","59.8","73.6"
"11 years and under","Total mental health presentations","Females","14/15","82.2","74.8","90.0"
"11 years and under","Total mental health presentations","Females","15/16","94.5","86.7","102.9"
"11 years and under","Total mental health presentations","Females","16/17","93.0","85.3","101.2"
"11 years and under","Total mental health presentations","Females","17/18","98.1","90.2","106.5"
"11 years and under","Total mental health presentations","Females","18/19","114.4","105.9","123.4"
"11 years and under","Total mental health presentations","Females","19/20","121.9","113.2","131.2"
"11 years and under","Total mental health presentations","Females","20/21","153.9","143.9","164.3"
"11 years and under","Total mental health presentations","Females","21/22","149.0","139.2","159.3"
"11 years and under","Total mental health presentations","Females","22/23","170.9","160.4","181.9"
"11 years and under","Total mental health presentations","Females","23/24","178.2","167.5","189.4"
"11 years and under","Total mental health presentations","Females","24/25","165.6","155.2","176.5"
"11 years and under","Total mental health presentations","Persons","12/13","88.1","82.7","93.8"
