"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2015-Q4","119.7","71.8","187.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q1","142.5","89.9","214.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q2","123.5","74.9","191.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q3","141.0","88.6","212.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2016-Q4","144.1","91.1","216.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q1","140.8","88.8","212.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q2","170.6","112.7","247.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q3","162.8","106.3","238.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2017-Q4","170.6","112.7","247.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q1","179.8","120.4","258.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q2","179.8","120.4","258.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q3","195.3","133.2","276.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2018-Q4","207.8","143.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q1","191.6","130.4","271.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q2","199.3","136.7","280.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q3","213.0","148.2","296.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2019-Q4","233.0","164.9","319.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q1","239.3","170.8","326.2"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q2","234.8","167.0","321.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q3","225.8","159.4","310.5"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2020-Q4","203.2","140.5","284.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q1","208.7","145.1","290.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q2","207.2","143.9","288.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q3","177.1","119.1","253.6"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2021-Q4","166.6","110.5","241.2"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q1","176.2","118.7","252.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q2","165.9","110.2","239.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q3","198.4","137.0","278.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2022-Q4","207.3","144.4","288.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q1","193.7","133.7","271.3"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q2","206.7","144.6","286.4"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q3","200.9","139.7","279.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2023-Q4","209.6","147.0","289.8"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q1","212.9","151.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q2","203.3","143.3","279.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q3","212.9","151.4","291.0"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2024-Q4","215.6","153.7","294.1"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q1","196.2","137.8","271.1"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q2","217.7","155.9","295.9"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q3","224.5","161.6","303.7"
"12-17 years","Total mental health presentations","Males","Sydney LHD","2025-Q4","232.5","168.4","312.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2015-Q4","211.1","168.6","261.1"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q1","219.5","176.5","269.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q2","228.7","184.7","279.9"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q3","237.8","193.0","290.0"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2016-Q4","220.1","177.1","270.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q1","213.4","171.4","262.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q2","205.0","163.9","253.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q3","211.6","169.8","260.6"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2017-Q4","210.4","168.7","259.3"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q1","228.4","185.2","278.7"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q2","245.5","200.6","297.5"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q3","270.9","223.6","325.2"
"12-17 years","Total mental health presentations","Males","South Western Sydney LHD","2018-Q4","307.5","256.9","365.0"
