"Psychological distress in adults by Category and LHD"
"Category","LHD","Period","Per cent","LL 95% CI","UL 95% CI"
"High or very high level","Sydney LHD","2002","15.5","12.8","18.3"
"High or very high level","Sydney LHD","2003","10.9","8.6","13.2"
"High or very high level","Sydney LHD","2004","13.2","10.3","16.2"
"High or very high level","Sydney LHD","2005","15.3","12.0","18.6"
"High or very high level","Sydney LHD","2006","14.7","11.1","18.2"
"High or very high level","Sydney LHD","2007","14.9","11.2","18.6"
"High or very high level","Sydney LHD","2008","11.8","8.7","15.0"
"High or very high level","Sydney LHD","2009","11.7","8.7","14.7"
"High or very high level","Sydney LHD","2010","11.4","7.6","15.2"
"High or very high level","Sydney LHD","2011","10.0","7.7","12.4"
"High or very high level","Sydney LHD","2013","10.2","8.0","12.4"
"High or very high level","Sydney LHD","2015","13.9","10.8","17.0"
"High or very high level","Sydney LHD","2017","15.3","12.0","18.6"
"High or very high level","Sydney LHD","2019","17.7","13.7","21.7"
"High or very high level","Sydney LHD","2020","17.7","12.3","23.0"
"High or very high level","Sydney LHD","2021","14.9","11.9","17.8"
"High or very high level","Sydney LHD","2023","17.6","14.2","21.0"
"High or very high level","Sydney LHD","2024","20.2","16.0","24.5"
"High or very high level","South Western Sydney LHD","2002","14.3","11.4","17.2"
"High or very high level","South Western Sydney LHD","2003","13.2","10.5","15.9"
"High or very high level","South Western Sydney LHD","2004","15.0","11.6","18.5"
"High or very high level","South Western Sydney LHD","2005","14.4","11.5","17.2"
"High or very high level","South Western Sydney LHD","2006","13.8","10.6","16.9"
"High or very high level","South Western Sydney LHD","2007","16.9","13.5","20.2"
"High or very high level","South Western Sydney LHD","2008","13.4","10.3","16.5"
"High or very high level","South Western Sydney LHD","2009","16.2","13.1","19.2"
"High or very high level","South Western Sydney LHD","2010","12.5","9.7","15.2"
"High or very high level","South Western Sydney LHD","2011","13.1","10.2","16.0"
"High or very high level","South Western Sydney LHD","2013","11.2","8.8","13.6"
"High or very high level","South Western Sydney LHD","2015","14.0","10.4","17.6"
"High or very high level","South Western Sydney LHD","2017","19.2","15.9","22.5"
"High or very high level","South Western Sydney LHD","2019","19.7","15.8","23.6"
"High or very high level","South Western Sydney LHD","2020","17.6","13.7","21.4"
"High or very high level","South Western Sydney LHD","2021","18.5","15.3","21.7"
"High or very high level","South Western Sydney LHD","2023","23.2","19.6","26.8"
"High or very high level","South Western Sydney LHD","2024","24.1","20.3","27.8"
"High or very high level","South Eastern Sydney LHD","2002","12.3","9.6","15.0"
"High or very high level","South Eastern Sydney LHD","2003","14.1","11.2","17.0"
"High or very high level","South Eastern Sydney LHD","2004","17.2","12.6","21.7"
"High or very high level","South Eastern Sydney LHD","2005","11.6","9.0","14.2"
"High or very high level","South Eastern Sydney LHD","2006","9.5","6.7","12.4"
"High or very high level","South Eastern Sydney LHD","2007","10.8","7.4","14.2"
"High or very high level","South Eastern Sydney LHD","2008","10.3","7.2","13.3"
"High or very high level","South Eastern Sydney LHD","2009","12.3","9.0","15.6"
"High or very high level","South Eastern Sydney LHD","2010","9.9","6.5","13.4"
"High or very high level","South Eastern Sydney LHD","2011","7.8","5.0","10.7"
"High or very high level","South Eastern Sydney LHD","2013","8.0","5.8","10.1"
"High or very high level","South Eastern Sydney LHD","2015","9.3","6.4","12.2"
"High or very high level","South Eastern Sydney LHD","2017","11.2","8.5","13.8"
"High or very high level","South Eastern Sydney LHD","2019","16.4","12.6","20.1"
"High or very high level","South Eastern Sydney LHD","2020","15.2","11.4","18.9"
"High or very high level","South Eastern Sydney LHD","2021","13.9","10.9","16.9"
"High or very high level","South Eastern Sydney LHD","2023","15.0","12.2","17.9"
"High or very high level","South Eastern Sydney LHD","2024","16.7","13.3","20.0"
"High or very high level","Illawarra Shoalhaven LHD","2002","10.8","8.3","13.2"
"High or very high level","Illawarra Shoalhaven LHD","2003","14.5","11.6","17.3"
"High or very high level","Illawarra Shoalhaven LHD","2004","12.5","9.5","15.6"
"High or very high level","Illawarra Shoalhaven LHD","2005","13.5","9.6","17.3"
"High or very high level","Illawarra Shoalhaven LHD","2006","15.1","9.9","20.3"
"High or very high level","Illawarra Shoalhaven LHD","2007","11.6","7.7","15.5"
"High or very high level","Illawarra Shoalhaven LHD","2008","10.0","6.5","13.4"
"High or very high level","Illawarra Shoalhaven LHD","2009","11.4","8.0","14.7"
"High or very high level","Illawarra Shoalhaven LHD","2010","14.4","10.0","18.9"
"High or very high level","Illawarra Shoalhaven LHD","2011","11.1","8.2","14.0"
"High or very high level","Illawarra Shoalhaven LHD","2013","11.0","8.1","14.0"
"High or very high level","Illawarra Shoalhaven LHD","2015","12.1","8.0","16.2"
"High or very high level","Illawarra Shoalhaven LHD","2017","14.5","10.1","18.8"
"High or very high level","Illawarra Shoalhaven LHD","2019","18.7","13.7","23.6"
"High or very high level","Illawarra Shoalhaven LHD","2020","18.4","12.7","24.1"
"High or very high level","Illawarra Shoalhaven LHD","2021","16.9","13.2","20.6"
"High or very high level","Illawarra Shoalhaven LHD","2023","17.8","14.1","21.5"
"High or very high level","Illawarra Shoalhaven LHD","2024","21.4","16.8","26.1"
