"Suicide by LHD"
"LHD","Period","Age standardised rate per 100,000 population","LL 95% CI","UL 95% CI"
"Sydney LHD","2011","8.8","6.6","11.6"
"Sydney LHD","2012","7.4","5.4","10.0"
"Sydney LHD","2013","7.9","5.9","10.5"
"Sydney LHD","2014","10.5","8.1","13.4"
"Sydney LHD","2015","8.4","6.3","11.0"
"Sydney LHD","2016","7.4","5.4","9.8"
"Sydney LHD","2017","10.1","7.8","12.9"
"Sydney LHD","2018","9.7","7.5","12.3"
"Sydney LHD","2019","9.7","7.5","12.3"
"Sydney LHD","2020","8.6","6.5","11.1"
"Sydney LHD","2021","8.0","6.0","10.3"
"Sydney LHD","2022","9.2","7.1","11.8"
"Sydney LHD","2023","8.9","6.8","11.5"
"South Western Sydney LHD","2011","7.4","5.7","9.5"
"South Western Sydney LHD","2012","7.5","5.8","9.5"
"South Western Sydney LHD","2013","7.1","5.4","9.1"
"South Western Sydney LHD","2014","8.7","6.8","10.8"
"South Western Sydney LHD","2015","9.3","7.4","11.5"
"South Western Sydney LHD","2016","6.9","5.4","8.8"
"South Western Sydney LHD","2017","9.8","7.9","11.9"
"South Western Sydney LHD","2018","10.3","8.4","12.5"
"South Western Sydney LHD","2019","9.0","7.3","11.1"
"South Western Sydney LHD","2020","7.8","6.2","9.8"
"South Western Sydney LHD","2021","5.9","4.5","7.5"
"South Western Sydney LHD","2022","8.3","6.7","10.2"
"South Western Sydney LHD","2023","7.0","5.5","8.8"
"South Eastern Sydney LHD","2011","7.7","6.0","9.7"
"South Eastern Sydney LHD","2012","7.7","6.0","9.8"
"South Eastern Sydney LHD","2013","9.2","7.4","11.5"
"South Eastern Sydney LHD","2014","10.6","8.6","12.9"
"South Eastern Sydney LHD","2015","9.5","7.6","11.7"
"South Eastern Sydney LHD","2016","7.7","6.0","9.7"
"South Eastern Sydney LHD","2017","12.0","9.9","14.4"
"South Eastern Sydney LHD","2018","9.3","7.5","11.5"
"South Eastern Sydney LHD","2019","8.6","6.8","10.7"
"South Eastern Sydney LHD","2020","9.9","8.0","12.1"
"South Eastern Sydney LHD","2021","9.7","7.8","11.8"
"South Eastern Sydney LHD","2022","7.3","5.7","9.1"
"South Eastern Sydney LHD","2023","8.6","6.9","10.7"
"Illawarra Shoalhaven LHD","2011","15.0","11.4","19.5"
"Illawarra Shoalhaven LHD","2012","10.6","7.5","14.5"
"Illawarra Shoalhaven LHD","2013","9.5","6.6","13.2"
"Illawarra Shoalhaven LHD","2014","11.3","8.2","15.3"
"Illawarra Shoalhaven LHD","2015","13.6","10.1","17.9"
"Illawarra Shoalhaven LHD","2016","9.8","6.9","13.4"
"Illawarra Shoalhaven LHD","2017","14.2","10.6","18.6"
"Illawarra Shoalhaven LHD","2018","15.4","11.7","19.8"
"Illawarra Shoalhaven LHD","2019","16.9","13.0","21.5"
"Illawarra Shoalhaven LHD","2020","15.2","11.6","19.6"
"Illawarra Shoalhaven LHD","2021","10.8","7.8","14.5"
"Illawarra Shoalhaven LHD","2022","15.5","11.8","19.9"
"Illawarra Shoalhaven LHD","2023","9.7","6.9","13.3"
"Western Sydney LHD","2011","6.1","4.5","8.0"
"Western Sydney LHD","2012","10.1","8.0","12.4"
"Western Sydney LHD","2013","6.7","5.1","8.7"
"Western Sydney LHD","2014","8.7","6.8","10.8"
"Western Sydney LHD","2015","7.9","6.2","9.9"
"Western Sydney LHD","2016","8.1","6.4","10.1"
"Western Sydney LHD","2017","6.5","5.0","8.4"
"Western Sydney LHD","2018","7.8","6.1","9.7"
"Western Sydney LHD","2019","6.4","5.0","8.2"
"Western Sydney LHD","2020","6.0","4.6","7.7"
"Western Sydney LHD","2021","6.8","5.3","8.6"
"Western Sydney LHD","2022","9.3","7.6","11.3"
"Western Sydney LHD","2023","5.7","4.4","7.3"
"Nepean Blue Mountains LHD","2011","10.0","6.9","13.9"
"Nepean Blue Mountains LHD","2012","9.9","6.9","13.9"
"Nepean Blue Mountains LHD","2013","9.2","6.3","13.0"
"Nepean Blue Mountains LHD","2014","14.5","10.7","19.0"
"Nepean Blue Mountains LHD","2015","11.9","8.5","16.1"
"Nepean Blue Mountains LHD","2016","13.3","9.8","17.6"
"Nepean Blue Mountains LHD","2017","17.0","13.1","21.8"
"Nepean Blue Mountains LHD","2018","13.6","10.1","17.9"
"Nepean Blue Mountains LHD","2019","7.3","4.9","10.5"
"Nepean Blue Mountains LHD","2020","11.1","8.0","15.0"
"Nepean Blue Mountains LHD","2021","11.6","8.4","15.5"
"Nepean Blue Mountains LHD","2022","10.8","7.7","14.6"
"Nepean Blue Mountains LHD","2023","10.7","7.7","14.5"
"Northern Sydney LHD","2011","6.6","5.0","8.5"
"Northern Sydney LHD","2012","8.2","6.5","10.4"
"Northern Sydney LHD","2013","7.4","5.8","9.5"
"Northern Sydney LHD","2014","8.9","7.1","11.1"
"Northern Sydney LHD","2015","7.3","5.7","9.3"
"Northern Sydney LHD","2016","6.4","4.9","8.3"
"Northern Sydney LHD","2017","9.2","7.3","11.4"
"Northern Sydney LHD","2018","8.0","6.3","10.0"
"Northern Sydney LHD","2019","7.7","6.0","9.7"
"Northern Sydney LHD","2020","8.0","6.3","10.0"
"Northern Sydney LHD","2021","6.9","5.3","8.8"
"Northern Sydney LHD","2022","7.6","5.9","9.5"
"Northern Sydney LHD","2023","7.3","5.7","9.2"
"Central Coast LHD","2011","10.0","6.7","14.4"
"Central Coast LHD","2012","11.6","8.1","16.0"
"Central Coast LHD","2013","12.1","8.5","16.6"
"Central Coast LHD","2014","13.1","9.4","17.8"
"Central Coast LHD","2015","11.8","8.3","16.3"
"Central Coast LHD","2016","14.1","10.3","18.9"
"Central Coast LHD","2017","15.0","11.0","19.9"
"Central Coast LHD","2018","13.1","9.4","17.8"
"Central Coast LHD","2019","15.4","11.4","20.2"
"Central Coast LHD","2020","14.7","10.8","19.5"
"Central Coast LHD","2021","13.6","9.9","18.2"
"Central Coast LHD","2022","12.7","9.1","17.3"
"Central Coast LHD","2023","11.9","8.4","16.2"
"Hunter New England LHD","2011","8.6","6.7","10.8"
"Hunter New England LHD","2012","15.7","13.1","18.7"
"Hunter New England LHD","2013","11.9","9.6","14.5"
"Hunter New England LHD","2014","12.5","10.2","15.1"
"Hunter New England LHD","2015","16.4","13.8","19.3"
"Hunter New England LHD","2016","13.4","11.1","16.1"
"Hunter New England LHD","2017","17.3","14.6","20.2"
"Hunter New England LHD","2018","13.9","11.5","16.7"
"Hunter New England LHD","2019","17.3","14.7","20.3"
"Hunter New England LHD","2020","14.8","12.4","17.6"
"Hunter New England LHD","2021","14.5","12.1","17.2"
"Hunter New England LHD","2022","14.3","11.9","17.0"
"Hunter New England LHD","2023","13.3","11.0","15.9"
"Northern NSW LHD","2011","10.5","6.8","15.5"
"Northern NSW LHD","2012","17.6","12.6","23.7"
"Northern NSW LHD","2013","14.7","10.4","20.0"
"Northern NSW LHD","2014","16.5","12.0","22.2"
"Northern NSW LHD","2015","18.0","13.2","24.0"
"Northern NSW LHD","2016","19.2","14.1","25.4"
"Northern NSW LHD","2017","16.9","12.3","22.6"
"Northern NSW LHD","2018","19.5","14.6","25.6"
"Northern NSW LHD","2019","20.9","15.7","27.4"
"Northern NSW LHD","2020","19.6","14.6","25.6"
"Northern NSW LHD","2021","20.1","15.1","26.2"
"Northern NSW LHD","2022","14.0","10.1","19.0"
"Northern NSW LHD","2023","16.7","12.2","22.3"
"Mid North Coast LHD","2011","9.5","5.7","15.0"
"Mid North Coast LHD","2012","12.1","7.7","18.1"
"Mid North Coast LHD","2013","10.7","6.4","16.7"
"Mid North Coast LHD","2014","17.4","11.7","24.8"
"Mid North Coast LHD","2015","15.7","10.3","22.9"
"Mid North Coast LHD","2016","17.5","12.0","24.6"
"Mid North Coast LHD","2017","17.2","11.8","24.1"
"Mid North Coast LHD","2018","11.6","7.3","17.5"
"Mid North Coast LHD","2019","21.4","15.2","29.1"
"Mid North Coast LHD","2020","11.5","7.3","17.2"
"Mid North Coast LHD","2021","22.8","16.5","30.7"
"Mid North Coast LHD","2022","14.7","9.9","21.0"
"Mid North Coast LHD","2023","15.6","10.5","22.1"
"Southern NSW LHD","2011","8.0","4.6","13.0"
"Southern NSW LHD","2012","18.8","13.1","26.3"
"Southern NSW LHD","2013","14.7","9.8","21.2"
"Southern NSW LHD","2014","5.5","2.8","9.6"
"Southern NSW LHD","2015","16.2","11.1","22.9"
"Southern NSW LHD","2016","18.6","12.8","26.1"
"Southern NSW LHD","2017","19.7","14.1","26.9"
"Southern NSW LHD","2018","13.7","9.0","19.9"
"Southern NSW LHD","2019","14.9","10.0","21.3"
"Southern NSW LHD","2020","9.9","6.3","15.0"
"Southern NSW LHD","2021","18.2","12.7","25.2"
